Problem No: 6
Source: (23.834145, 0.000000)
Destination: (0.000000, 0.000000)
Starting time at source: -4:30283 AM
Destination reaching time: 3:43 AM

12:56 PM - 12:56 PM, Cost: ৳2.61: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.12: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.92: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.76: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.65: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.12: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.26: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.08: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.92: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.69: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.59: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.46: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.78: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.02: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.31: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.76: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.86: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.14: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.29: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.69: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.40: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.28: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.26: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.70: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.76: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.40: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.48: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳1.74: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.66: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.42: Ride Car from (23.79, 90.34) to (23.79, 90.34).
12:56 PM - 12:56 PM, Cost: ৳0.46: Ride Car from (23.79, 90.34) to (23.79, 90.34).
