Problem no : 2
Minimum cost is 119.6478685597422214৳ 
Source:  (90.406900, 23.780800)
Destination:  (90.376500, 23.745400)
Walk from Source (90.406900, 23.780800) to (90.407008, 23.780791)
Cost: 0.6840215727542578৳ . Ride Car from  (90.407008, 23.780791) to (90.406974, 23.780485)
Cost: 2.8812980280142519৳ . Ride Car from  (90.406974, 23.780485) to (90.405578, 23.780701)
Cost: 0.8734981604731558৳ . Ride Car from  (90.405578, 23.780701) to (90.405551, 23.780309)
Cost: 0.9197678337341059৳ . Ride Car from  (90.405551, 23.780309) to (90.405527, 23.779896)
Cost: 0.9160013542076523৳ . Ride Car from  (90.405527, 23.779896) to (90.405189, 23.779624)
Cost: 2.4836826118428541৳ . Ride Car from  (90.405189, 23.779624) to (90.404041, 23.779245)
Cost: 1.5209331596001534৳ . Ride Car from  (90.404041, 23.779245) to (90.403316, 23.779079)
Cost: 0.3940073483209034৳ . Ride Car from  (90.403316, 23.779079) to (90.403123, 23.779065)
Cost: 0.4640519513187413৳ . Ride Car from  (90.403123, 23.779065) to (90.402895, 23.779068)
Cost: 0.6839535348724484৳ . Ride Car from  (90.402895, 23.779068) to (90.402582, 23.779180)
Cost: 1.3941926472791477৳ . Ride Car from  (90.402582, 23.779180) to (90.401913, 23.779315)
Cost: 0.6580477774111898৳ . Ride Car from  (90.401913, 23.779315) to (90.401591, 23.779342)
Cost: 0.8566958033818022৳ . Ride Car from  (90.401591, 23.779342) to (90.401171, 23.779368)
Cost: 2.0737372653181514৳ . Ride Car from  (90.401171, 23.779368) to (90.400159, 23.779477)
Cost: 0.5905389799613602৳ . Ride Car from  (90.400159, 23.779477) to (90.399980, 23.779268)
Cost: 0.5161749441106764৳ . Ride Car from  (90.399980, 23.779268) to (90.399890, 23.779051)
Cost: 1.8929421391662236৳ . Ride Car from  (90.399890, 23.779051) to (90.398960, 23.779036)
Cost: 2.2518359332682087৳ . Ride Car from  (90.398960, 23.779036) to (90.398352, 23.778190)
