Problem no : 2
Minimum cost is 149.4830589415867053৳ 
Source:  (90.397300, 23.865000)
Destination:  (90.412500, 23.810300)
Walk from Source (90.397300, 23.865000) to (90.397601, 23.865117)
Cost: 0.9785914374049516৳ . Ride Car from  (90.397601, 23.865117) to (90.397595, 23.864677)
Cost: 0.4047546425287101৳ . Ride Car from  (90.397595, 23.864677) to (90.397594, 23.864495)
Cost: 1.1146834192919703৳ . Ride Car from  (90.397594, 23.864495) to (90.398142, 23.864504)
Cost: 1.3699758428364310৳ . Ride Car from  (90.398142, 23.864504) to (90.398136, 23.863888)
Cost: 0.2092046922187485৳ . Ride Car from  (90.398136, 23.863888) to (90.398140, 23.863794)
Cost: 1.3814243004415583৳ . Ride Car from  (90.398140, 23.863794) to (90.398156, 23.863173)
Cost: 1.4271423116534980৳ . Ride Car from  (90.398156, 23.863173) to (90.398857, 23.863202)
Cost: 1.0466737537055233৳ . Ride Car from  (90.398857, 23.863202) to (90.398830, 23.862732)
Cost: 0.9891163820219206৳ . Ride Car from  (90.398830, 23.862732) to (90.399315, 23.862699)
Cost: 0.7435043091513400৳ . Ride Car from  (90.399315, 23.862699) to (90.399679, 23.862668)
Cost: 0.1101845832217871৳ . Ride Car from  (90.399679, 23.862668) to (90.399733, 23.862672)
Cost: 0.6036674213019798৳ . Ride Car from  (90.399733, 23.862672) to (90.400028, 23.862702)
Cost: 1.8480037064830634৳ . Ride Car from  (90.400028, 23.862702) to (90.400072, 23.861872)
Cost: 2.6076973533370880৳ . Ride Car from  (90.400072, 23.861872) to (90.400394, 23.860737)
Cost: 2.8352738605774470৳ . Ride Car from  (90.400394, 23.860737) to (90.401095, 23.859635)
Cost: 12.4914129000087133৳ . Ride Car from  (90.401095, 23.859635) to (90.404772, 23.855136)
Cost: 0.6795578577397704৳ . Ride Car from  (90.404772, 23.855136) to (90.404976, 23.854894)
Cost: 0.3517929372330826৳ . Ride Car from  (90.404976, 23.854894) to (90.405082, 23.854769)
Cost: 38.6409306752916422৳ . Ride Car from  (90.405082, 23.854769) to (90.416504, 23.840885)
Cost: 5.5562702362294889৳ . Ride Car from  (90.416504, 23.840885) to (90.417852, 23.838712)
Cost: 3.4646658716278518৳ . Ride Car from  (90.417852, 23.838712) to (90.418367, 23.837227)
Cost: 3.6476005722704401৳ . Ride Car from  (90.418367, 23.837227) to (90.418794, 23.835634)
Cost: 6.0296049184164033৳ . Ride Car from  (90.418794, 23.835634) to (90.419250, 23.832955)
Cost: 9.3807710391276249৳ . Ride Car from  (90.419250, 23.832955) to (90.419952, 23.828786)
Cost: 4.3992949980750407৳ . Ride Car from  (90.419952, 23.828786) to (90.420275, 23.826830)
Cost: 4.0891273392681260৳ . Ride Car from  (90.420275, 23.826830) to (90.420459, 23.824999)
Cost: 3.1215019115660443৳ . Ride Car from  (90.420459, 23.824999) to (90.420262, 23.823607)
Cost: 2.0441442602128386৳ . Ride Car from  (90.420262, 23.823607) to (90.419859, 23.822765)
Cost: 2.9584414114385131৳ . Ride Car from  (90.419859, 23.822765) to (90.419038, 23.821667)
Cost: 2.4143134766839220৳ . Ride Car from  (90.419038, 23.821667) to (90.418130, 23.820968)
Cost: 1.9484362193744720৳ . Ride Car from  (90.418130, 23.820968) to (90.417356, 23.820452)
Cost: 5.9888298229845782৳ . Ride Car from  (90.417356, 23.820452) to (90.414977, 23.818866)
Cost: 1.1531801882571162৳ . Ride Car from  (90.414977, 23.818866) to (90.415297, 23.818438)
Cost: 6.4934183446409470৳ . Ride Car from  (90.415297, 23.818438) to (90.412778, 23.816645)
Cost: 2.0385576032460224৳ . Ride Car from  (90.412778, 23.816645) to (90.412816, 23.815729)
Cost: 0.4146246475731356৳ . Ride Car from  (90.412816, 23.815729) to (90.412830, 23.815543)
Cost: 0.6766649116911573৳ . Ride Car from  (90.412830, 23.815543) to (90.412844, 23.815239)
Cost: 1.0864537547994617৳ . Ride Car from  (90.412844, 23.815239) to (90.412869, 23.814751)
Cost: 1.0540445142073278৳ . Ride Car from  (90.412869, 23.814751) to (90.412902, 23.814278)
Cost: 1.0528301888794918৳ . Ride Car from  (90.412902, 23.814278) to (90.412942, 23.813806)
Cost: 1.0856362154992745৳ . Ride Car from  (90.412942, 23.813806) to (90.412956, 23.813318)
Cost: 1.0338146771930465৳ . Ride Car from  (90.412956, 23.813318) to (90.412987, 23.812854)
Cost: 0.0624019723689220৳ . Ride Car from  (90.412987, 23.812854) to (90.412989, 23.812826)
Cost: 1.0681985875846838৳ . Ride Car from  (90.412989, 23.812826) to (90.413028, 23.812347)
Cost: 0.9997236722681319৳ . Ride Car from  (90.413028, 23.812347) to (90.413052, 23.811898)
Cost: 1.0951583154902889৳ . Ride Car from  (90.413052, 23.811898) to (90.413075, 23.811406)
Cost: 0.0690608412510002৳ . Ride Car from  (90.413075, 23.811406) to (90.413077, 23.811375)
Cost: 0.9752907364767488৳ . Ride Car from  (90.413077, 23.811375) to (90.413101, 23.810937)
Cost: 1.1083253516027067৳ . Ride Car from  (90.413101, 23.810937) to (90.413122, 23.810439)
Cost: 1.0403527539065220৳ . Ride Car from  (90.413122, 23.810439) to (90.413152, 23.809972)
Cost: 2.0987272009261493৳ . Ride Car from  (90.413152, 23.809972) to (90.412122, 23.809921)
Walk from  (90.412122, 23.809921) to Destination (90.412500, 23.810300)
