Problem no : 2
Minimum cost is 177.7600210797930629৳ 
Source:  (90.412500, 23.810300)
Destination:  (90.388400, 23.750400)
Cost: 2.3797922523156867৳ . Ride Car from  (90.401124, 23.790230) to (90.400956, 23.789171)
Cost: 1.3284654470507435৳ . Ride Car from  (90.400956, 23.789171) to (90.400861, 23.788580)
Cost: 1.3879189143222359৳ . Ride Car from  (90.400861, 23.788580) to (90.400745, 23.787965)
Cost: 1.0770081148165087৳ . Ride Car from  (90.400745, 23.787965) to (90.400667, 23.787486)
Cost: 3.5400472950541335৳ . Ride Car from  (90.400667, 23.787486) to (90.400361, 23.785919)
Cost: 3.3682982305494762৳ . Ride Car from  (90.400361, 23.785919) to (90.400070, 23.784428)
Cost: 3.6561126682993201৳ . Ride Car from  (90.400070, 23.784428) to (90.399777, 23.782806)
Cost: 0.9916344878747010৳ . Ride Car from  (90.399777, 23.782806) to (90.399698, 23.782366)
Cost: 1.2483830219780316৳ . Ride Car from  (90.399698, 23.782366) to (90.399606, 23.781811)
Cost: 1.6843824184745828৳ . Ride Car from  (90.399606, 23.781811) to (90.399476, 23.781063)
Cost: 1.4158822149679959৳ . Ride Car from  (90.399476, 23.781063) to (90.398782, 23.781108)
Cost: 1.4255296289278949৳ . Ride Car from  (90.398782, 23.781108) to (90.398665, 23.780476)
Cost: 0.8161790527710899৳ . Ride Car from  (90.398665, 23.780476) to (90.398599, 23.780114)
Cost: 0.8610563745782495৳ . Ride Car from  (90.398599, 23.780114) to (90.398530, 23.779732)
Cost: 0.1138743615369663৳ . Ride Car from  (90.398530, 23.779732) to (90.398525, 23.779681)
Cost: 1.9313552400527900৳ . Ride Car from  (90.398525, 23.779681) to (90.398429, 23.778817)
Cost: 1.1188318232956000৳ . Ride Car from  (90.398429, 23.778817) to (90.398359, 23.778318)
Cost: 0.2850152570953997৳ . Ride Car from  (90.398359, 23.778318) to (90.398352, 23.778190)
Cost: 0.8038750517015930৳ . Ride Car from  (90.398352, 23.778190) to (90.397957, 23.778191)
Cost: 0.4477316832612511৳ . Ride Car from  (90.397957, 23.778191) to (90.397737, 23.778192)
Cost: 4.1960771837114681৳ . Ride Car from  (90.397737, 23.778192) to (90.397439, 23.776325)
Cost: 0.8578858875090136৳ . Ride Car from  (90.397439, 23.776325) to (90.397373, 23.775944)
Cost: 0.2209993234624256৳ . Ride Car from  (90.397373, 23.775944) to (90.397355, 23.775846)
Cost: 2.0896392493559572৳ . Ride Car from  (90.397355, 23.775846) to (90.397201, 23.774917)
Cost: 2.0395877019560240৳ . Ride Car from  (90.397201, 23.774917) to (90.397060, 23.774009)
Cost: 2.9271861915350676৳ . Ride Car from  (90.397060, 23.774009) to (90.396849, 23.772707)
Cost: 1.6044316420721285৳ . Ride Car from  (90.396849, 23.772707) to (90.396736, 23.771993)
Cost: 1.3639402374566312৳ . Ride Car from  (90.396736, 23.771993) to (90.396648, 23.771385)
Cost: 1.4774107001058820৳ . Ride Car from  (90.396648, 23.771385) to (90.396548, 23.770727)
Cost: 2.4197097751027727৳ . Ride Car from  (90.396548, 23.770727) to (90.396379, 23.769650)
Cost: 0.5575028864559549৳ . Ride Car from  (90.396379, 23.769650) to (90.396339, 23.769402)
Cost: 0.6770844098422929৳ . Ride Car from  (90.396339, 23.769402) to (90.396289, 23.769101)
Cost: 0.7925960928893051৳ . Ride Car from  (90.396289, 23.769101) to (90.396228, 23.768749)
Cost: 0.5543599940742141৳ . Ride Car from  (90.396228, 23.768749) to (90.396184, 23.768503)
Cost: 5.1436177681631490৳ . Ride Car from  (90.396184, 23.768503) to (90.395753, 23.766224)
Cost: 4.8714622818032884৳ . Ride Car from  (90.395753, 23.766224) to (90.395242, 23.764084)
Cost: 2.1442630639880629৳ . Ride Car from  (90.395242, 23.764084) to (90.395075, 23.763132)
Cost: 0.8102206859443453৳ . Ride Car from  (90.395075, 23.763132) to (90.394677, 23.763125)
Cost: 1.9379711480621959৳ . Ride Car from  (90.394677, 23.763125) to (90.394054, 23.762466)
Cost: 1.0639150951662024৳ . Ride Car from  (90.394054, 23.762466) to (90.393720, 23.762098)
